degree,gamma,C,coef0,Training Data, Validation Data
2,0.1,0.01,1.0,99.74489795918367,67.89883268482491
2,1.0,0.01,1.0,99.94897959183675,68.09338521400778
2,10.0,0.01,1.0,99.94897959183675,68.09338521400778
2,100.0,0.01,1.0,99.94897959183675,68.09338521400778
3,0.001,0.01,1.0,23.72448979591837,21.78988326848249
3,0.01,0.01,1.0,99.03061224489797,68.48249027237354
3,0.1,0.01,1.0,99.94897959183675,68.8715953307393
3,1.0,0.01,1.0,99.94897959183675,68.8715953307393
3,10.0,0.01,1.0,99.94897959183675,68.8715953307393
3,100.0,0.01,1.0,99.94897959183675,68.8715953307393
4,0.001,0.01,1.0,23.8265306122449,21.78988326848249
4,0.01,0.01,1.0,99.84693877551021,68.09338521400778
4,0.1,0.01,1.0,99.94897959183675,68.8715953307393
4,1.0,0.01,1.0,99.94897959183675,68.8715953307393
4,10.0,0.01,1.0,99.94897959183675,68.8715953307393
4,100.0,0.01,1.0,98.62244897959184,68.8715953307393
1,0.001,0.01,10.0,23.36734693877551,21.011673151750973
1,0.01,0.01,10.0,23.36734693877551,21.011673151750973
1,0.1,0.01,10.0,43.87755102040816,34.824902723735406
1,1.0,0.01,10.0,93.31632653061224,66.14785992217898
1,10.0,0.01,10.0,99.59183673469387,65.95330739299611
1,100.0,0.01,10.0,99.84693877551021,65.95330739299611
2,0.001,0.01,10.0,23.36734693877551,21.011673151750973
2,0.01,0.01,10.0,82.5,65.1750972762646
2,0.1,0.01,10.0,99.74489795918367,67.70428015564202
2,1.0,0.01,10.0,99.94897959183675,68.09338521400778
2,10.0,0.01,10.0,99.94897959183675,68.09338521400778
2,100.0,0.01,10.0,99.94897959183675,68.09338521400778
3,0.001,0.01,10.0,81.37755102040816,63.22957198443579
3,0.01,0.01,10.0,99.64285714285714,67.50972762645915
3,0.1,0.01,10.0,99.94897959183675,68.48249027237354
3,1.0,0.01,10.0,99.94897959183675,68.8715953307393
3,10.0,0.01,10.0,99.94897959183675,68.8715953307393
3,100.0,0.01,10.0,99.94897959183675,68.8715953307393
4,0.001,0.01,10.0,99.28571428571429,66.9260700389105
4,0.01,0.01,10.0,99.94897959183675,68.28793774319067
4,0.1,0.01,10.0,99.94897959183675,68.67704280155642
4,1.0,0.01,10.0,99.94897959183675,68.8715953307393
4,10.0,0.01,10.0,99.94897959183675,68.8715953307393
1,0.001,0.01,100.0,23.36734693877551,21.011673151750973
1,0.01,0.01,100.0,23.36734693877551,21.011673151750973
1,0.1,0.01,100.0,43.826530612244895,34.824902723735406
1,1.0,0.01,100.0,93.31632653061224,66.14785992217898
1,10.0,0.01,100.0,99.59183673469387,65.95330739299611
1,100.0,0.01,100.0,99.84693877551021,65.95330739299611
2,0.001,0.01,100.0,69.43877551020408,54.6692607003891
2,0.01,0.01,100.0,97.90816326530613,66.14785992217898
2,0.1,0.01,100.0,99.79591836734694,66.14785992217898
