degree,gamma,C,coef0,Training Data, Validation Data
3,0.01,10,0.1,99.94897959183675,68.8715953307393
3,0.1,10,0.1,99.94897959183675,68.8715953307393
3,1.0,10,0.1,99.94897959183675,68.8715953307393
3,10.0,10,0.1,99.94897959183675,68.8715953307393
3,100.0,10,0.1,99.43877551020408,69.06614785992218
4,0.001,10,0.1,99.23469387755102,68.8715953307393
4,0.01,10,0.1,99.94897959183675,68.8715953307393
4,0.1,10,0.1,99.94897959183675,68.8715953307393
4,1.0,10,0.1,99.94897959183675,68.8715953307393
4,10.0,10,0.1,99.03061224489797,68.8715953307393
4,100.0,10,0.1,99.18367346938776,68.8715953307393
1,0.001,10,1.0,93.31632653061224,66.14785992217898
1,0.01,10,1.0,99.59183673469387,65.95330739299611
1,0.1,10,1.0,99.84693877551021,65.95330739299611
1,1.0,10,1.0,99.94897959183675,65.95330739299611
1,10.0,10,1.0,99.94897959183675,65.95330739299611
1,100.0,10,1.0,99.94897959183675,65.95330739299611
2,0.001,10,1.0,99.13265306122449,66.53696498054474
2,0.01,10,1.0,99.94897959183675,67.89883268482491
2,0.1,10,1.0,99.94897959183675,68.09338521400778
2,1.0,10,1.0,99.94897959183675,68.09338521400778
2,10.0,10,1.0,99.94897959183675,68.09338521400778
2,100.0,10,1.0,99.94897959183675,68.09338521400778
3,0.001,10,1.0,99.64285714285714,67.50972762645915
3,0.01,10,1.0,99.94897959183675,68.48249027237354
3,0.1,10,1.0,99.94897959183675,68.8715953307393
3,1.0,10,1.0,99.94897959183675,68.8715953307393
3,10.0,10,1.0,99.94897959183675,68.8715953307393
3,100.0,10,1.0,99.48979591836735,69.06614785992218
4,0.001,10,1.0,99.74489795918367,68.09338521400778
4,0.01,10,1.0,99.94897959183675,68.67704280155642
4,0.1,10,1.0,99.94897959183675,68.8715953307393
4,1.0,10,1.0,99.94897959183675,68.8715953307393
4,100.0,10,1.0,99.18367346938776,68.8715953307393
1,0.001,10,10.0,93.31632653061224,66.14785992217898
1,0.01,10,10.0,99.59183673469387,65.95330739299611
1,0.1,10,10.0,99.84693877551021,65.95330739299611
1,1.0,10,10.0,99.94897959183675,65.95330739299611
1,10.0,10,10.0,99.94897959183675,65.95330739299611
1,100.0,10,10.0,99.94897959183675,65.95330739299611
2,0.001,10,10.0,99.74489795918367,65.56420233463035
2,0.01,10,10.0,99.94897959183675,66.53696498054474
2,0.1,10,10.0,99.94897959183675,67.89883268482491
2,1.0,10,10.0,99.94897959183675,68.09338521400778
2,10.0,10,10.0,99.94897959183675,68.09338521400778
2,100.0,10,10.0,99.94897959183675,68.09338521400778
3,0.001,10,10.0,99.94897959183675,65.95330739299611
3,0.01,10,10.0,99.94897959183675,67.70428015564202
3,0.1,10,10.0,99.94897959183675,68.48249027237354
3,1.0,10,10.0,99.94897959183675,68.8715953307393
3,10.0,10,10.0,99.94897959183675,68.8715953307393
4,0.001,10,10.0,99.94897959183675,65.95330739299611
4,0.01,10,10.0,99.94897959183675,68.28793774319067
4,0.1,10,10.0,99.94897959183675,68.67704280155642
4,1.0,10,10.0,99.94897959183675,68.8715953307393
4,10.0,10,10.0,98.9795918367347,68.67704280155642
1,0.001,10,100.0,93.31632653061224,66.14785992217898
1,0.01,10,100.0,99.59183673469387,65.95330739299611
1,0.1,10,100.0,99.84693877551021,65.95330739299611
1,1.0,10,100.0,99.94897959183675,65.95330739299611
1,10.0,10,100.0,99.94897959183675,65.95330739299611
1,100.0,10,100.0,99.94897959183675,65.95330739299611
2,0.001,10,100.0,99.94897959183675,65.95330739299611
2,0.01,10,100.0,99.94897959183675,65.75875486381322
2,0.1,10,100.0,99.94897959183675,66.53696498054474
2,1.0,10,100.0,99.94897959183675,67.89883268482491
2,10.0,10,100.0,99.94897959183675,68.09338521400778
2,100.0,10,100.0,99.94897959183675,68.09338521400778
3,0.001,10,100.0,99.94897959183675,65.95330739299611
3,0.01,10,100.0,99.94897959183675,65.95330739299611
3,0.1,10,100.0,99.94897959183675,67.70428015564202
3,1.0,10,100.0,99.94897959183675,68.48249027237354
3,10.0,10,100.0,99.94897959183675,68.8715953307393
4,0.001,10,100.0,99.94897959183675,65.75875486381322
4,0.01,10,100.0,99.94897959183675,65.95330739299611
4,0.1,10,100.0,99.94897959183675,68.28793774319067
4,1.0,10,100.0,99.94897959183675,68.67704280155642
4,10.0,10,100.0,98.92857142857143,69.26070038910505
1,0.001,100,0.001,99.59183673469387,65.95330739299611
1,0.01,100,0.001,99.84693877551021,65.95330739299611
1,0.1,100,0.001,99.94897959183675,65.95330739299611
1,1.0,100,0.001,99.94897959183675,65.95330739299611
1,10.0,100,0.001,99.94897959183675,65.95330739299611
1,100.0,100,0.001,99.94897959183675,65.95330739299611
2,0.001,100,0.001,99.74489795918367,67.89883268482491
2,0.01,100,0.001,99.94897959183675,68.09338521400778
2,0.1,100,0.001,99.94897959183675,68.09338521400778
2,1.0,100,0.001,99.94897959183675,68.09338521400778
2,10.0,100,0.001,99.94897959183675,68.09338521400778
2,100.0,100,0.001,99.94897959183675,68.09338521400778
3,0.001,100,0.001,99.74489795918367,68.48249027237354
3,0.01,100,0.001,99.94897959183675,68.8715953307393
3,0.1,100,0.001,99.94897959183675,68.8715953307393
3,1.0,100,0.001,99.94897959183675,68.8715953307393
3,10.0,100,0.001,99.94897959183675,68.8715953307393
4,0.001,100,0.001,99.79591836734694,68.48249027237354
4,0.01,100,0.001,99.94897959183675,68.8715953307393
4,0.1,100,0.001,99.94897959183675,68.8715953307393
4,1.0,100,0.001,99.94897959183675,68.8715953307393
4,100.0,100,0.001,99.18367346938776,68.8715953307393
1,0.001,100,0.01,99.59183673469387,65.95330739299611
1,0.01,100,0.01,99.84693877551021,65.95330739299611
1,0.1,100,0.01,99.94897959183675,65.95330739299611
1,1.0,100,0.01,99.94897959183675,65.95330739299611
1,10.0,100,0.01,99.94897959183675,65.95330739299611
1,100.0,100,0.01,99.94897959183675,65.95330739299611
2,0.001,100,0.01,99.74489795918367,67.89883268482491
2,0.01,100,0.01,99.94897959183675,68.09338521400778
2,0.1,100,0.01,99.94897959183675,68.09338521400778
2,1.0,100,0.01,99.94897959183675,68.09338521400778
2,10.0,100,0.01,99.94897959183675,68.09338521400778
2,100.0,100,0.01,99.94897959183675,68.09338521400778
3,0.001,100,0.01,99.74489795918367,68.48249027237354
3,0.01,100,0.01,99.94897959183675,68.8715953307393
3,0.1,100,0.01,99.94897959183675,68.8715953307393
3,1.0,100,0.01,99.94897959183675,68.8715953307393
3,10.0,100,0.01,99.94897959183675,68.8715953307393
3,100.0,100,0.01,98.87755102040816,68.8715953307393
4,0.001,100,0.01,99.79591836734694,68.28793774319067
4,0.01,100,0.01,99.94897959183675,68.8715953307393
4,0.1,100,0.01,99.94897959183675,68.8715953307393
4,1.0,100,0.01,99.94897959183675,68.8715953307393
1,0.001,100,0.1,99.59183673469387,65.95330739299611
1,0.01,100,0.1,99.84693877551021,65.95330739299611
1,0.1,100,0.1,99.94897959183675,65.95330739299611
1,1.0,100,0.1,99.94897959183675,65.95330739299611
1,10.0,100,0.1,99.94897959183675,65.95330739299611
1,100.0,100,0.1,99.94897959183675,65.95330739299611
2,0.001,100,0.1,99.74489795918367,67.70428015564202
2,0.01,100,0.1,99.94897959183675,68.09338521400778
2,0.1,100,0.1,99.94897959183675,68.09338521400778
2,1.0,100,0.1,99.94897959183675,68.09338521400778
2,10.0,100,0.1,99.94897959183675,68.09338521400778
2,100.0,100,0.1,99.94897959183675,68.09338521400778
3,0.001,100,0.1,99.79591836734694,68.28793774319067
3,0.01,100,0.1,99.94897959183675,68.8715953307393
3,0.1,100,0.1,99.94897959183675,68.8715953307393
3,1.0,100,0.1,99.94897959183675,68.8715953307393
3,10.0,100,0.1,99.94897959183675,68.8715953307393
3,100.0,100,0.1,98.87755102040816,68.67704280155642
4,0.001,100,0.1,99.84693877551021,68.09338521400778
4,0.01,100,0.1,99.94897959183675,68.8715953307393
4,0.1,100,0.1,99.94897959183675,68.8715953307393
4,1.0,100,0.1,99.94897959183675,68.8715953307393
4,10.0,100,0.1,98.62244897959184,68.8715953307393
4,100.0,100,0.1,99.18367346938776,68.8715953307393
1,0.001,100,1.0,99.59183673469387,65.95330739299611
1,0.01,100,1.0,99.84693877551021,65.95330739299611
1,0.1,100,1.0,99.94897959183675,65.95330739299611
1,1.0,100,1.0,99.94897959183675,65.95330739299611
1,10.0,100,1.0,99.94897959183675,65.95330739299611
1,100.0,100,1.0,99.94897959183675,65.95330739299611
2,0.001,100,1.0,99.79591836734694,66.14785992217898
2,0.01,100,1.0,99.94897959183675,67.89883268482491
2,0.1,100,1.0,99.94897959183675,68.09338521400778
2,1.0,100,1.0,99.94897959183675,68.09338521400778
2,10.0,100,1.0,99.94897959183675,68.09338521400778
2,100.0,100,1.0,99.94897959183675,68.09338521400778
3,0.001,100,1.0,99.89795918367346,67.70428015564202
3,0.01,100,1.0,99.94897959183675,68.48249027237354
3,0.1,100,1.0,99.94897959183675,68.8715953307393
3,1.0,100,1.0,99.94897959183675,68.8715953307393
3,10.0,100,1.0,99.94897959183675,68.8715953307393
3,100.0,100,1.0,98.87755102040816,68.67704280155642
4,0.001,100,1.0,99.94897959183675,68.28793774319067
4,0.01,100,1.0,99.94897959183675,68.67704280155642
4,0.1,100,1.0,99.94897959183675,68.8715953307393
4,1.0,100,1.0,99.94897959183675,68.8715953307393
4,100.0,100,1.0,99.18367346938776,68.8715953307393
1,0.001,100,10.0,99.59183673469387,65.95330739299611
1,0.01,100,10.0,99.84693877551021,65.95330739299611
1,0.1,100,10.0,99.94897959183675,65.95330739299611
1,1.0,100,10.0,99.94897959183675,65.95330739299611
1,10.0,100,10.0,99.94897959183675,65.95330739299611
1,100.0,100,10.0,99.94897959183675,65.95330739299611
2,0.001,100,10.0,99.94897959183675,65.75875486381322
2,0.01,100,10.0,99.94897959183675,66.53696498054474
2,0.1,100,10.0,99.94897959183675,67.89883268482491
2,1.0,100,10.0,99.94897959183675,68.09338521400778
2,10.0,100,10.0,99.94897959183675,68.09338521400778
2,100.0,100,10.0,99.94897959183675,68.09338521400778
3,0.001,100,10.0,99.94897959183675,65.95330739299611
3,0.01,100,10.0,99.94897959183675,67.70428015564202
3,0.1,100,10.0,99.94897959183675,68.48249027237354
3,1.0,100,10.0,99.94897959183675,68.8715953307393
3,10.0,100,10.0,99.94897959183675,68.67704280155642
4,0.001,100,10.0,99.94897959183675,65.95330739299611
4,0.01,100,10.0,99.94897959183675,68.28793774319067
4,0.1,100,10.0,99.94897959183675,68.67704280155642
4,1.0,100,10.0,99.94897959183675,68.8715953307393
4,10.0,100,10.0,98.62244897959184,68.8715953307393
1,0.001,100,100.0,99.59183673469387,65.95330739299611
1,0.01,100,100.0,99.84693877551021,65.95330739299611
1,0.1,100,100.0,99.94897959183675,65.95330739299611
1,1.0,100,100.0,99.94897959183675,65.95330739299611
1,10.0,100,100.0,99.94897959183675,65.95330739299611
1,100.0,100,100.0,99.94897959183675,65.95330739299611
2,0.001,100,100.0,99.94897959183675,65.95330739299611
2,0.01,100,100.0,99.94897959183675,65.75875486381322
2,0.1,100,100.0,99.94897959183675,66.53696498054474
2,1.0,100,100.0,99.94897959183675,67.89883268482491
2,10.0,100,100.0,99.94897959183675,68.09338521400778
2,100.0,100,100.0,99.94897959183675,68.09338521400778
3,0.001,100,100.0,99.94897959183675,65.95330739299611
3,0.01,100,100.0,99.94897959183675,65.95330739299611
3,0.1,100,100.0,99.94897959183675,67.70428015564202
3,1.0,100,100.0,99.94897959183675,68.48249027237354
3,10.0,100,100.0,99.94897959183675,68.8715953307393
4,0.001,100,100.0,99.94897959183675,65.75875486381322
4,0.01,100,100.0,99.94897959183675,65.95330739299611
4,0.1,100,100.0,99.94897959183675,68.28793774319067
4,1.0,100,100.0,99.94897959183675,68.67704280155642
4,10.0,100,100.0,98.46938775510205,68.8715953307393
1,0.001,1000,0.001,99.84693877551021,65.95330739299611
1,0.01,1000,0.001,99.94897959183675,65.95330739299611
1,0.1,1000,0.001,99.94897959183675,65.95330739299611
1,1.0,1000,0.001,99.94897959183675,65.95330739299611
1,10.0,1000,0.001,99.94897959183675,65.95330739299611
1,100.0,1000,0.001,99.94897959183675,65.95330739299611
2,0.001,1000,0.001,99.94897959183675,68.09338521400778
2,0.01,1000,0.001,99.94897959183675,68.09338521400778
2,0.1,1000,0.001,99.94897959183675,68.09338521400778
2,1.0,1000,0.001,99.94897959183675,68.09338521400778
2,10.0,1000,0.001,99.94897959183675,68.09338521400778
2,100.0,1000,0.001,99.94897959183675,68.09338521400778
3,0.001,1000,0.001,99.94897959183675,68.8715953307393
3,0.01,1000,0.001,99.94897959183675,68.8715953307393
3,0.1,1000,0.001,99.94897959183675,68.8715953307393
3,1.0,1000,0.001,99.94897959183675,68.8715953307393
3,10.0,1000,0.001,99.94897959183675,68.67704280155642
4,0.001,1000,0.001,99.94897959183675,68.8715953307393
4,0.01,1000,0.001,99.94897959183675,68.8715953307393
4,0.1,1000,0.001,99.94897959183675,68.8715953307393
4,1.0,1000,0.001,99.94897959183675,68.8715953307393
4,100.0,1000,0.001,99.18367346938776,68.8715953307393
1,0.001,1000,0.01,99.84693877551021,65.95330739299611
1,0.01,1000,0.01,99.94897959183675,65.95330739299611
1,0.1,1000,0.01,99.94897959183675,65.95330739299611
1,1.0,1000,0.01,99.94897959183675,65.95330739299611
1,10.0,1000,0.01,99.94897959183675,65.95330739299611
1,100.0,1000,0.01,99.94897959183675,65.95330739299611
2,0.001,1000,0.01,99.94897959183675,68.09338521400778
2,0.01,1000,0.01,99.94897959183675,68.09338521400778
2,0.1,1000,0.01,99.94897959183675,68.09338521400778
2,1.0,1000,0.01,99.94897959183675,68.09338521400778
2,10.0,1000,0.01,99.94897959183675,68.09338521400778
2,100.0,1000,0.01,99.94897959183675,68.09338521400778
3,0.001,1000,0.01,99.94897959183675,68.8715953307393
3,0.01,1000,0.01,99.94897959183675,68.8715953307393
3,0.1,1000,0.01,99.94897959183675,68.8715953307393
3,1.0,1000,0.01,99.94897959183675,68.8715953307393
3,10.0,1000,0.01,99.94897959183675,68.8715953307393
3,100.0,1000,0.01,99.23469387755102,69.06614785992218
4,0.001,1000,0.01,99.94897959183675,68.8715953307393
4,0.01,1000,0.01,99.94897959183675,68.8715953307393
4,0.1,1000,0.01,99.94897959183675,68.8715953307393
4,1.0,1000,0.01,99.94897959183675,68.67704280155642
1,0.001,1000,0.1,99.84693877551021,65.95330739299611
1,0.01,1000,0.1,99.94897959183675,65.95330739299611
1,0.1,1000,0.1,99.94897959183675,65.95330739299611
1,1.0,1000,0.1,99.94897959183675,65.95330739299611
1,10.0,1000,0.1,99.94897959183675,65.95330739299611
1,100.0,1000,0.1,99.94897959183675,65.95330739299611
2,0.001,1000,0.1,99.94897959183675,67.89883268482491
2,0.01,1000,0.1,99.94897959183675,68.09338521400778
2,0.1,1000,0.1,99.94897959183675,68.09338521400778
2,1.0,1000,0.1,99.94897959183675,68.09338521400778
2,10.0,1000,0.1,99.94897959183675,68.09338521400778
2,100.0,1000,0.1,99.94897959183675,68.09338521400778
3,0.001,1000,0.1,99.94897959183675,68.48249027237354
3,0.01,1000,0.1,99.94897959183675,68.8715953307393
3,0.1,1000,0.1,99.94897959183675,68.8715953307393
3,1.0,1000,0.1,99.94897959183675,68.8715953307393
3,10.0,1000,0.1,99.94897959183675,68.8715953307393
3,100.0,1000,0.1,99.23469387755102,69.06614785992218
4,0.001,1000,0.1,99.94897959183675,68.67704280155642
4,0.01,1000,0.1,99.94897959183675,68.8715953307393
4,0.1,1000,0.1,99.94897959183675,68.8715953307393
4,1.0,1000,0.1,99.94897959183675,68.48249027237354
4,10.0,1000,0.1,98.41836734693878,68.8715953307393
4,100.0,1000,0.1,99.18367346938776,68.8715953307393
1,0.001,1000,1.0,99.84693877551021,65.95330739299611
1,0.01,1000,1.0,99.94897959183675,65.95330739299611
1,0.1,1000,1.0,99.94897959183675,65.95330739299611
1,1.0,1000,1.0,99.94897959183675,65.95330739299611
1,10.0,1000,1.0,99.94897959183675,65.95330739299611
1,100.0,1000,1.0,99.94897959183675,65.95330739299611
2,0.001,1000,1.0,99.94897959183675,66.53696498054474
2,0.01,1000,1.0,99.94897959183675,67.89883268482491
2,0.1,1000,1.0,99.94897959183675,68.09338521400778
2,1.0,1000,1.0,99.94897959183675,68.09338521400778
2,10.0,1000,1.0,99.94897959183675,68.09338521400778
2,100.0,1000,1.0,99.94897959183675,68.09338521400778
3,0.001,1000,1.0,99.94897959183675,67.70428015564202
3,0.01,1000,1.0,99.94897959183675,68.48249027237354
3,0.1,1000,1.0,99.94897959183675,68.8715953307393
3,1.0,1000,1.0,99.94897959183675,68.8715953307393
3,10.0,1000,1.0,99.94897959183675,68.8715953307393
3,100.0,1000,1.0,99.23469387755102,69.06614785992218
4,0.001,1000,1.0,99.94897959183675,68.28793774319067
4,0.01,1000,1.0,99.94897959183675,68.67704280155642
4,0.1,1000,1.0,99.94897959183675,68.8715953307393
4,100.0,1000,1.0,99.18367346938776,68.8715953307393
1,0.001,1000,10.0,99.84693877551021,65.95330739299611
1,0.01,1000,10.0,99.94897959183675,65.95330739299611
1,0.1,1000,10.0,99.94897959183675,65.95330739299611
1,1.0,1000,10.0,99.94897959183675,65.95330739299611
1,10.0,1000,10.0,99.94897959183675,65.95330739299611
1,100.0,1000,10.0,99.94897959183675,65.95330739299611
2,0.001,1000,10.0,99.94897959183675,65.75875486381322
2,0.01,1000,10.0,99.94897959183675,66.53696498054474
2,0.1,1000,10.0,99.94897959183675,67.89883268482491
2,1.0,1000,10.0,99.94897959183675,68.09338521400778
2,10.0,1000,10.0,99.94897959183675,68.09338521400778
2,100.0,1000,10.0,99.94897959183675,68.09338521400778
3,0.001,1000,10.0,99.94897959183675,65.95330739299611
3,0.01,1000,10.0,99.94897959183675,67.70428015564202
3,0.1,1000,10.0,99.94897959183675,68.48249027237354
3,1.0,1000,10.0,99.94897959183675,68.8715953307393
4,0.001,1000,10.0,99.94897959183675,65.95330739299611
4,0.01,1000,10.0,99.94897959183675,68.28793774319067
4,0.1,1000,10.0,99.94897959183675,68.67704280155642
4,1.0,1000,10.0,99.94897959183675,68.67704280155642
4,10.0,1000,10.0,98.41836734693878,68.8715953307393
1,0.001,1000,100.0,99.84693877551021,65.95330739299611
1,0.01,1000,100.0,99.94897959183675,65.95330739299611
1,0.1,1000,100.0,99.94897959183675,65.95330739299611
1,1.0,1000,100.0,99.94897959183675,65.95330739299611
1,10.0,1000,100.0,99.94897959183675,65.95330739299611
1,100.0,1000,100.0,99.94897959183675,65.95330739299611
2,0.001,1000,100.0,99.94897959183675,65.95330739299611
2,0.01,1000,100.0,99.94897959183675,65.75875486381322
2,0.1,1000,100.0,99.94897959183675,66.53696498054474
2,1.0,1000,100.0,99.94897959183675,67.89883268482491
2,10.0,1000,100.0,99.94897959183675,68.09338521400778
2,100.0,1000,100.0,99.94897959183675,68.09338521400778
3,0.001,1000,100.0,99.94897959183675,65.95330739299611
3,0.01,1000,100.0,99.94897959183675,65.95330739299611
3,0.1,1000,100.0,99.94897959183675,67.70428015564202
3,1.0,1000,100.0,99.94897959183675,68.48249027237354
3,10.0,1000,100.0,99.94897959183675,68.8715953307393
4,0.001,1000,100.0,99.94897959183675,65.75875486381322
4,0.01,1000,100.0,99.94897959183675,65.95330739299611
4,0.1,1000,100.0,99.94897959183675,68.28793774319067
4,1.0,1000,100.0,99.94897959183675,68.28793774319067
4,10.0,1000,100.0,98.41836734693878,68.8715953307393
