C,coef0,degree,gamma,Training Data, Validation Data
0.01,1.0,2,0.01,67.75510204081633,54.08560311284047
0.01,1.0,2,0.1,99.74489795918367,67.89883268482491
0.01,1.0,2,1.0,99.94897959183675,68.09338521400778
0.01,1.0,2,10.0,99.94897959183675,68.09338521400778
0.01,1.0,2,100.0,99.94897959183675,68.09338521400778
0.01,1.0,3,0.001,23.72448979591837,21.78988326848249
0.01,1.0,3,0.01,99.03061224489797,68.48249027237354
0.01,1.0,3,0.1,99.94897959183675,68.8715953307393
0.01,1.0,3,1.0,99.94897959183675,68.8715953307393
0.01,1.0,3,10.0,99.94897959183675,68.8715953307393
0.01,1.0,3,100.0,99.94897959183675,68.8715953307393
0.01,1.0,4,0.001,23.8265306122449,21.78988326848249
0.01,1.0,4,0.01,99.84693877551021,68.09338521400778
0.01,1.0,4,0.1,99.94897959183675,68.8715953307393
0.01,1.0,4,1.0,99.94897959183675,68.8715953307393
0.01,1.0,4,10.0,99.94897959183675,68.8715953307393
0.01,1.0,4,100.0,98.62244897959184,68.8715953307393
0.01,10.0,1,0.001,23.36734693877551,21.011673151750973
0.01,10.0,1,0.01,23.36734693877551,21.011673151750973
0.01,10.0,1,0.1,43.87755102040816,34.824902723735406
0.01,10.0,1,1.0,93.31632653061224,66.14785992217898
0.01,10.0,1,10.0,99.59183673469387,65.95330739299611
0.01,10.0,1,100.0,99.84693877551021,65.95330739299611
0.01,10.0,2,0.001,23.36734693877551,21.011673151750973
0.01,10.0,2,0.01,82.5,65.1750972762646
0.01,10.0,2,0.1,99.74489795918367,67.70428015564202
0.01,10.0,2,1.0,99.94897959183675,68.09338521400778
0.01,10.0,2,10.0,99.94897959183675,68.09338521400778
0.01,10.0,2,100.0,99.94897959183675,68.09338521400778
0.01,10.0,3,0.001,81.37755102040816,63.22957198443579
0.01,10.0,3,0.01,99.64285714285714,67.50972762645915
0.01,10.0,3,0.1,99.94897959183675,68.48249027237354
0.01,10.0,3,1.0,99.94897959183675,68.8715953307393
0.01,10.0,3,10.0,99.94897959183675,68.8715953307393
0.01,10.0,3,100.0,99.94897959183675,68.8715953307393
0.01,10.0,4,0.001,99.28571428571429,66.9260700389105
0.01,10.0,4,0.01,99.94897959183675,68.28793774319067
