{'coef0': 0.1, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 0.1, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 0.1, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 0.1, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.1, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 2},23.72448979591837,21.78988326848249
{'coef0': 0.1, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 2},97.39795918367346,67.70428015564202
{'coef0': 0.1, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 3},23.8265306122449,21.98443579766537
{'coef0': 0.1, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.74489795918367,68.48249027237354
{'coef0': 0.1, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 4},23.77551020408163,21.40077821011673
{'coef0': 0.1, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.67704280155642
{'coef0': 0.1, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},98.41836734693878,68.8715953307393
{'coef0': 1.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 1},23.36734693877551,21.011673151750973
{'coef0': 1.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 1},43.826530612244895,34.824902723735406
{'coef0': 1.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 1.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 1.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 1.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 1.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 2},23.520408163265305,21.40077821011673
{'coef0': 1.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 2},97.8061224489796,67.12062256809338
{'coef0': 1.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 1.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 1.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 1.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 1.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 3},42.80612244897959,35.40856031128405
{'coef0': 1.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.79591836734694,68.28793774319067
{'coef0': 1.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 1.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 1.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 1.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 1.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 4},75.91836734693878,59.92217898832685
{'coef0': 1.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.67704280155642
{'coef0': 1.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 1.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 1.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.48249027237354
{'coef0': 1.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},98.41836734693878,68.8715953307393
{'coef0': 10.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 1},23.36734693877551,21.011673151750973
{'coef0': 10.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 1},43.826530612244895,34.824902723735406
{'coef0': 10.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 10.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 10.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 10.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 10.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 2},71.27551020408164,56.42023346303502
{'coef0': 10.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.13265306122449,66.53696498054474
{'coef0': 10.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,67.89883268482491
{'coef0': 10.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 10.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 10.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 10.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.03061224489797,66.53696498054474
{'coef0': 10.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.89795918367346,67.70428015564202
{'coef0': 10.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.48249027237354
{'coef0': 10.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 10.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 10.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 10.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.84693877551021,65.56420233463035
{'coef0': 10.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.28793774319067
{'coef0': 10.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.67704280155642
{'coef0': 10.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 10.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.67704280155642
{'coef0': 100.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 1},23.36734693877551,21.011673151750973
{'coef0': 100.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 1},43.826530612244895,34.824902723735406
{'coef0': 100.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 100.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 100.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 100.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 100.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 2},97.60204081632654,66.34241245136187
{'coef0': 100.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.74489795918367,65.56420233463035
{'coef0': 100.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,66.53696498054474
{'coef0': 100.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,67.89883268482491
{'coef0': 100.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 100.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 100.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,65.95330739299611
{'coef0': 100.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,65.95330739299611
{'coef0': 100.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,67.70428015564202
{'coef0': 100.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.48249027237354
{'coef0': 100.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 100.0, 'gamma': 100.0, 'C': 0.1, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.67704280155642
{'coef0': 100.0, 'gamma': 0.001, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,65.75875486381322
{'coef0': 100.0, 'gamma': 0.01, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,65.95330739299611
{'coef0': 100.0, 'gamma': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.28793774319067
{'coef0': 100.0, 'gamma': 1.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.67704280155642
{'coef0': 100.0, 'gamma': 10.0, 'C': 0.1, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.48249027237354
{'coef0': 0.001, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 1},43.87755102040816,34.824902723735406
{'coef0': 0.001, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 0.001, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 0.001, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 0.001, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.001, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.001, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 2},63.62244897959184,50.38910505836576
{'coef0': 0.001, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.74489795918367,67.89883268482491
{'coef0': 0.001, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.001, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.001, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.001, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.001, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 3},71.12244897959184,56.42023346303502
{'coef0': 0.001, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.67704280155642
{'coef0': 0.001, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 4},74.43877551020408,58.5603112840467
{'coef0': 0.001, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.001, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.18367346938776,68.8715953307393
{'coef0': 0.01, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 1},43.826530612244895,34.824902723735406
{'coef0': 0.01, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 0.01, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 0.01, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 0.01, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.01, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.01, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 2},63.92857142857142,50.583657587548636
{'coef0': 0.01, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.74489795918367,67.89883268482491
{'coef0': 0.01, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.01, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.01, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.01, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.01, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 3},71.47959183673468,57.58754863813229
{'coef0': 0.01, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 4},75.10204081632654,59.92217898832685
{'coef0': 0.01, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.01, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 1},43.826530612244895,34.824902723735406
{'coef0': 0.1, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 0.1, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
{'coef0': 0.1, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.84693877551021,65.95330739299611
{'coef0': 0.1, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.1, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.94897959183675,65.95330739299611
{'coef0': 0.1, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 2},67.75510204081633,54.08560311284047
{'coef0': 0.1, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.74489795918367,67.89883268482491
{'coef0': 0.1, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 2},99.94897959183675,68.09338521400778
{'coef0': 0.1, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 3},77.55102040816327,62.06225680933852
{'coef0': 0.1, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 3},99.94897959183675,68.67704280155642
{'coef0': 0.1, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 4},81.78571428571428,63.61867704280155
{'coef0': 0.1, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 1.0, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.94897959183675,68.8715953307393
{'coef0': 0.1, 'gamma': 10.0, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.43877551020408,69.64980544747081
{'coef0': 0.1, 'gamma': 100.0, 'C': 1.0, 'kernel': 'poly', 'degree': 4},99.18367346938776,68.8715953307393
{'coef0': 1.0, 'gamma': 0.001, 'C': 1.0, 'kernel': 'poly', 'degree': 1},43.87755102040816,34.824902723735406
{'coef0': 1.0, 'gamma': 0.01, 'C': 1.0, 'kernel': 'poly', 'degree': 1},93.31632653061224,66.14785992217898
{'coef0': 1.0, 'gamma': 0.1, 'C': 1.0, 'kernel': 'poly', 'degree': 1},99.59183673469387,65.95330739299611
