{'C': 0.001, 'coef0': 1.0, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.001, 'coef0': 1.0, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.001, 'coef0': 1.0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.520408163265305,21.40077821011673
{'C': 0.001, 'coef0': 1.0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},23.72448979591837,21.78988326848249
{'C': 0.001, 'coef0': 1.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},97.39795918367346,67.70428015564202
{'C': 0.001, 'coef0': 1.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 1.0, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 1.0, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 1.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'},23.72448979591837,21.78988326848249
{'C': 0.001, 'coef0': 1.0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'},77.55102040816327,62.06225680933852
{'C': 0.001, 'coef0': 1.0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 3, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 3, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'},23.8265306122449,21.78988326848249
{'C': 0.001, 'coef0': 1.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'},99.23469387755102,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},99.03061224489797,68.8715953307393
{'C': 0.001, 'coef0': 10.0, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 10.0, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 10.0, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 10.0, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},43.87755102040816,34.824902723735406
{'C': 0.001, 'coef0': 10.0, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.001, 'coef0': 10.0, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.001, 'coef0': 10.0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 10.0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},23.520408163265305,21.40077821011673
{'C': 0.001, 'coef0': 10.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},97.8061224489796,67.12062256809338
{'C': 0.001, 'coef0': 10.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 10.0, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 10.0, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 10.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.20622568093385
{'C': 0.001, 'coef0': 10.0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'},94.33673469387756,67.70428015564202
{'C': 0.001, 'coef0': 10.0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.48249027237354
{'C': 0.001, 'coef0': 10.0, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 10.0, 'degree': 3, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 10.0, 'degree': 3, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 10.0, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'},86.37755102040816,65.56420233463035
{'C': 0.001, 'coef0': 10.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'},99.74489795918367,68.09338521400778
{'C': 0.001, 'coef0': 10.0, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.67704280155642
{'C': 0.001, 'coef0': 10.0, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 10.0, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 10.0, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},98.9795918367347,68.67704280155642
{'C': 0.001, 'coef0': 100.0, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 100.0, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 100.0, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 100.0, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},43.87755102040816,34.824902723735406
{'C': 0.001, 'coef0': 100.0, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.001, 'coef0': 100.0, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.001, 'coef0': 100.0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 100.0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},71.27551020408164,56.42023346303502
{'C': 0.001, 'coef0': 100.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},99.13265306122449,66.53696498054474
{'C': 0.001, 'coef0': 100.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,67.89883268482491
{'C': 0.001, 'coef0': 100.0, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 100.0, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 100.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'},98.92857142857143,66.73151750972762
{'C': 0.001, 'coef0': 100.0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'},99.79591836734694,65.75875486381322
{'C': 0.001, 'coef0': 100.0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,67.70428015564202
{'C': 0.001, 'coef0': 100.0, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.48249027237354
{'C': 0.001, 'coef0': 100.0, 'degree': 3, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 100.0, 'degree': 3, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 100.0, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'},99.94897959183675,65.75875486381322
{'C': 0.001, 'coef0': 100.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'},99.94897959183675,65.95330739299611
{'C': 0.001, 'coef0': 100.0, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.28793774319067
{'C': 0.001, 'coef0': 100.0, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.67704280155642
{'C': 0.001, 'coef0': 100.0, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 100.0, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},98.9795918367347,68.67704280155642
{'C': 0.01, 'coef0': 0.001, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.01, 'coef0': 0.001, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.01, 'coef0': 0.001, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},43.87755102040816,34.824902723735406
{'C': 0.01, 'coef0': 0.001, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.01, 'coef0': 0.001, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.01, 'coef0': 0.001, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.84693877551021,65.95330739299611
{'C': 0.01, 'coef0': 0.001, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.77551020408163,21.78988326848249
{'C': 0.01, 'coef0': 0.001, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},63.57142857142857,50.38910505836576
{'C': 0.01, 'coef0': 0.001, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},99.74489795918367,67.89883268482491
{'C': 0.01, 'coef0': 0.001, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.001, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.001, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.001, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'},23.8265306122449,21.78988326848249
