coef0,gamma,C,degree,Training Data, Validation Data,,,
10,10,0.1,4,99.94897959,68.6770428,,,
100,0.001,0.1,1,23.36734694,21.01167315,,,
100,0.01,0.1,1,43.82653061,34.82490272,,,
100,0.1,0.1,1,93.31632653,66.14785992,,,
100,1,0.1,1,99.59183673,65.95330739,,,
100,10,0.1,1,99.84693878,65.95330739,,,
100,100,0.1,1,99.94897959,65.95330739,,,
100,0.001,0.1,2,97.60204082,66.34241245,,,
100,0.01,0.1,2,99.74489796,65.56420233,,,
100,0.1,0.1,2,99.94897959,66.53696498,,,
100,1,0.1,2,99.94897959,67.89883268,,,
100,10,0.1,2,99.94897959,68.09338521,,,
100,100,0.1,2,99.94897959,68.09338521,,,
100,0.001,0.1,3,99.94897959,65.95330739,,,
100,0.01,0.1,3,99.94897959,65.95330739,,,
100,0.1,0.1,3,99.94897959,67.70428016,,,
100,1,0.1,3,99.94897959,68.48249027,,,
100,10,0.1,3,99.94897959,68.87159533,,,
100,100,0.1,3,99.94897959,68.6770428,,,
100,0.001,0.1,4,99.94897959,65.75875486,,,
100,0.01,0.1,4,99.94897959,65.95330739,,,
100,0.1,0.1,4,99.94897959,68.28793774,,,
100,1,0.1,4,99.94897959,68.6770428,,,
100,10,0.1,4,99.94897959,68.48249027,,,
0.001,0.001,1,1,43.87755102,34.82490272,,,
0.001,0.01,1,1,93.31632653,66.14785992,,,
0.001,0.1,1,1,99.59183673,65.95330739,,,
0.001,1,1,1,99.84693878,65.95330739,,,
0.001,10,1,1,99.94897959,65.95330739,,,
0.001,100,1,1,99.94897959,65.95330739,,,
0.001,0.001,1,2,63.62244898,50.38910506,,,
0.001,0.01,1,2,99.74489796,67.89883268,,,
0.001,0.1,1,2,99.94897959,68.09338521,,,
0.001,1,1,2,99.94897959,68.09338521,,,
0.001,10,1,2,99.94897959,68.09338521,,,
0.001,100,1,2,99.94897959,68.09338521,,,
0.001,0.001,1,3,71.12244898,56.42023346,,,
0.001,0.01,1,3,99.94897959,68.87159533,,,
0.001,0.1,1,3,99.94897959,68.87159533,,,
0.001,1,1,3,99.94897959,68.87159533,,,
0.001,10,1,3,99.94897959,68.87159533,,,
0.001,100,1,3,99.94897959,68.6770428,,,
0.001,0.001,1,4,74.43877551,58.56031128,,,
0.001,0.01,1,4,99.94897959,68.87159533,,,
0.001,0.1,1,4,99.94897959,68.87159533,,,
0.001,1,1,4,99.94897959,68.87159533,,,
0.001,100,1,4,99.18367347,68.87159533,,,
0.01,0.001,1,1,43.82653061,34.82490272,,,
0.01,0.01,1,1,93.31632653,66.14785992,,,
0.01,0.1,1,1,99.59183673,65.95330739,,,
0.01,1,1,1,99.84693878,65.95330739,,,
0.01,10,1,1,99.94897959,65.95330739,,,
0.01,100,1,1,99.94897959,65.95330739,,,
0.01,0.001,1,2,63.92857143,50.58365759,,,
0.01,0.01,1,2,99.74489796,67.89883268,,,
0.01,0.1,1,2,99.94897959,68.09338521,,,
0.01,1,1,2,99.94897959,68.09338521,,,
0.01,10,1,2,99.94897959,68.09338521,,,
0.01,100,1,2,99.94897959,68.09338521,,,
0.01,0.001,1,3,71.47959184,57.58754864,,,
0.01,0.01,1,3,99.94897959,68.87159533,,,
0.01,0.1,1,3,99.94897959,68.87159533,,,
0.01,1,1,3,99.94897959,68.87159533,,,
0.01,10,1,3,99.94897959,68.87159533,,,
0.01,100,1,3,99.94897959,68.87159533,,,
0.01,0.001,1,4,75.10204082,59.92217899,,,
0.01,0.01,1,4,99.94897959,68.87159533,,,
0.01,0.1,1,4,99.94897959,68.87159533,,,
0.01,1,1,4,99.94897959,68.87159533,,,
