{'C': 0.001, 'coef0': 0.001, 'gamma': 0.001, 'kernel': 'sigmoid'},45.875,49.35
{'C': 0.001, 'coef0': 0.001, 'gamma': 0.01, 'kernel': 'sigmoid'},23.5,25.1
{'C': 0.001, 'coef0': 0.001, 'gamma': 0.1, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.001, 'gamma': 1.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.001, 'gamma': 10.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.001, 'gamma': 100.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'},45.875,49.35
{'C': 0.001, 'coef0': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'},23.5,25.1
{'C': 0.001, 'coef0': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.01, 'gamma': 1.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.01, 'gamma': 10.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.01, 'gamma': 100.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'},45.859375,49.35
{'C': 0.001, 'coef0': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'},23.5,25.1
{'C': 0.001, 'coef0': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.1, 'gamma': 1.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.1, 'gamma': 10.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 0.1, 'gamma': 100.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 1.0, 'gamma': 0.001, 'kernel': 'sigmoid'},45.875,49.3
{'C': 0.001, 'coef0': 1.0, 'gamma': 0.01, 'kernel': 'sigmoid'},23.5,25.1
{'C': 0.001, 'coef0': 1.0, 'gamma': 0.1, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 1.0, 'gamma': 1.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 1.0, 'gamma': 10.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 1.0, 'gamma': 100.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 10.0, 'gamma': 0.001, 'kernel': 'sigmoid'},41.28125,44.65
{'C': 0.001, 'coef0': 10.0, 'gamma': 0.01, 'kernel': 'sigmoid'},33.28125,36.25
{'C': 0.001, 'coef0': 10.0, 'gamma': 0.1, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 10.0, 'gamma': 1.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 10.0, 'gamma': 10.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 10.0, 'gamma': 100.0, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 100.0, 'gamma': 0.001, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 100.0, 'gamma': 0.01, 'kernel': 'sigmoid'},23.4375,25.0
{'C': 0.001, 'coef0': 100.0, 'gamma': 0.1, 'kernel': 'sigmoid'},23.4375,25.0
