{'C': 0.1, 'coef0': 1.0, 'gamma': 0.001, 'kernel': 'sigmoid'},22.29591836734694,19.45525291828794
{'C': 0.1, 'coef0': 1.0, 'gamma': 0.01, 'kernel': 'sigmoid'},1.530612244897959,1.3618677042801557
{'C': 0.1, 'coef0': 1.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 1.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 1.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 1.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 10.0, 'gamma': 0.001, 'kernel': 'sigmoid'},5.0,4.669260700389105
{'C': 0.1, 'coef0': 10.0, 'gamma': 0.01, 'kernel': 'sigmoid'},2.3979591836734695,2.529182879377432
{'C': 0.1, 'coef0': 10.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 10.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 10.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 10.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 100.0, 'gamma': 0.001, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 100.0, 'gamma': 0.01, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 100.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 100.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 100.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.1, 'coef0': 100.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 1, 'coef0': 0.001, 'gamma': 0.001, 'kernel': 'sigmoid'},23.6734693877551,20.428015564202333
{'C': 1, 'coef0': 0.001, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3775510204081634,0.9727626459143969
