{'degree': 1, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 0.1},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 0.1},43.87755102040816,34.824902723735406
{'degree': 1, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 0.1},93.31632653061224,66.14785992217898
{'degree': 1, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 0.1},99.59183673469387,65.95330739299611
{'degree': 1, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 0.1},99.84693877551021,65.95330739299611
{'degree': 2, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 0.1},23.72448979591837,21.78988326848249
{'degree': 2, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 0.1},63.92857142857142,50.583657587548636
{'degree': 2, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 0.1},99.74489795918367,67.89883268482491
{'degree': 2, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 3, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 0.1},23.8265306122449,21.98443579766537
{'degree': 3, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 0.1},98.62244897959184,68.48249027237354
{'degree': 3, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 0.1},23.77551020408163,21.40077821011673
{'degree': 4, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 0.1},99.79591836734694,68.28793774319067
{'degree': 4, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 0.1},98.62244897959184,68.8715953307393
{'degree': 1, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 1.0},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 1.0},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 1.0},43.87755102040816,34.824902723735406
{'degree': 1, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 1.0},93.31632653061224,66.14785992217898
{'degree': 1, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 1.0},99.59183673469387,65.95330739299611
{'degree': 1, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 1.0},99.84693877551021,65.95330739299611
{'degree': 2, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 1.0},23.520408163265305,21.40077821011673
{'degree': 2, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 1.0},67.75510204081633,54.08560311284047
{'degree': 2, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 1.0},99.74489795918367,67.89883268482491
{'degree': 2, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.09338521400778
{'degree': 3, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 1.0},23.72448979591837,21.78988326848249
{'degree': 3, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 1.0},99.03061224489797,68.48249027237354
{'degree': 3, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 1.0},23.8265306122449,21.78988326848249
{'degree': 4, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 1.0},99.84693877551021,68.09338521400778
{'degree': 4, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 1.0},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 1.0},98.62244897959184,68.8715953307393
{'degree': 1, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 10.0},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 10.0},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 10.0},43.87755102040816,34.824902723735406
{'degree': 1, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 10.0},93.31632653061224,66.14785992217898
{'degree': 1, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 10.0},99.59183673469387,65.95330739299611
{'degree': 1, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 10.0},99.84693877551021,65.95330739299611
{'degree': 2, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 10.0},23.36734693877551,21.011673151750973
{'degree': 2, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 10.0},82.5,65.1750972762646
{'degree': 2, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 10.0},99.74489795918367,67.70428015564202
